legislature,session,member_id
39,1,grondin-janvier-1337
39,1,lapointe-lisette-45
39,1,matte-michel-39
39,1,menard-nicole-113
39,1,morin-norbert-499
39,1,pelletier-irvin-821
39,1,pelletier-emilien-441
39,1,pigeon-michel-427
39,1,pinard-claude-1115
39,1,richard-monique-409
39,1,simard-sylvain-729
39,1,vallieres-yvon-1659
39,1,curzi-pierre-1135
39,1,marois-pauline-79
39,1,gautrin-henri-francois-1051
39,1,doyer-danielle-91
39,1,picard-marc-655
39,1,gaudreault-maryse-959
39,1,paradis-pierre-1113
39,1,theriault-lise-1355
39,1,ouellet-martine-8431
39,1,bernard-daniel-13
39,1,berube-pascal-991
39,1,maltais-agnes-57
39,1,bonnardel-francois-11
39,1,bachand-raymond-565
39,1,courchesne-michelle-859
40,1,l-ecuyer-charlotte-51
40,1,reid-pierre-329
40,1,roy-sylvain-12163
40,1,ouellette-guy-549
40,1,richard-lorraine-287
40,1,caire-eric-485
40,1,rousselle-jean-12167
40,1,legault-francois-4131
40,1,drainville-bernard-209
40,1,tanguay-marc-11789
40,1,bouille-marie-155
40,1,arcand-pierre-421
40,1,bedard-stephane-1457
40,1,bergeron-stephane-1443
40,1,billette-stephane-1025
40,1,blais-marguerite-1263
40,1,blanchet-yves-francois-1123
40,1,bolduc-yves-297
40,1,bolduc-ghislain-12207
40,1,boulet-julie-649
40,1,breton-daniel-12225
40,1,bureau-blouin-leo-12175
40,1,cardin-serge-12237
40,1,carriere-marc-177
40,1,chagnon-jacques-353
40,1,chapadeau-gilles-12177
40,1,charbonneau-francine-635
40,1,charlebois-lucie-1017
40,1,claveau-jean-marie-12195
40,1,cloutier-alexandre-1077
40,1,cousineau-claude-925
40,1,d-amour-jean-1623
40,1,daneault-helene-12201
40,1,de-courcy-diane-12221
40,1,de-santis-rita-lc-12217
40,1,deltell-gerard-17
40,1,drolet-andre-299
40,1,dubourg-emmanuel-363
40,1,duchesne-pierre-12239
40,1,dufour-marjolain-423
40,1,dutil-robert-641
40,1,ferland-luc-685
40,1,fournier-jean-marc-3233
40,1,gadoury-hamelin-diane-12199
40,1,gaudreault-sylvain-1001
40,1,goyer-daniel-12241
40,1,hamad-sam-1273
40,1,hebert-rejean-12267
40,1,heurtel-david-14883
40,1,hivon-veronique-27
40,1,houda-pepin-fatima-61
40,1,iraca-alexandre-12227
40,1,james-yolande-49
40,1,kelley-geoffrey-55
40,1,khadir-amir-25
40,1,kotto-maka-41
40,1,le-bouyonnec-stephane-12269
40,1,leclair-guy-15
40,1,dube-christian-12223
40,1,leger-nicole-63
40,1,lelievre-gaetan-12229
40,1,lessard-laurent-5921
40,1,marceau-nicolas-7289
40,1,mckay-scott-29
40,1,couillard-philippe-5811
40,1,st-pierre-christine-1235
40,1,moreau-pierre-359
40,1,ouimet-francois-857
40,1,ouimet-gilles-12245
40,1,page-sylvain-987
40,1,rotiroti-filomena-1171
40,1,poeti-robert-12203
40,1,poirier-carole-9
40,1,proulx-suzanne-12235
40,1,ratthe-daniel-157
40,1,richard-jeannine-12209
40,1,roy-sylvie-1201
40,1,sklavounos-gerry-1179
40,1,spenard-andre-12211
40,1,st-amand-danielle-1059
40,1,st-arnaud-bertrand-1199
40,1,therrien-alain-12189
40,1,traversy-mathieu-1303
40,1,trottier-denis-1389
40,1,trudel-denise-12179
40,1,trudel-luc-12181
40,1,turcotte-dave-1407
40,1,vallee-stephanie-223
40,1,vallieres-karine-12173
40,1,vien-dominique-191
40,1,villeneuve-andre-97
40,1,weil-kathleen-33
40,1,zakaib-elaine-12197
40,1,bergman-lawrence-s-1419
40,1,gendron-francois-1423
40,1,malavoy-marie-255
40,1,marcoux-yvon-53
40,1,marsan-pierre-59
40,1,beaudoin-denise-727
40,1,champagne-noella-229
40,1,david-francoise-12205
40,1,diamond-jean-paul-189
40,1,duchesneau-jacques-12193
40,1,marcotte-jacques-12231
40,1,menard-nicole-113
40,1,morin-norbert-499
40,1,pelletier-irvin-821
40,1,pelletier-emilien-441
40,1,richer-roland-11785
40,1,st-laurent-michelyne-c-12183
40,1,lisee-jean-francois-12169
40,1,marois-pauline-79
40,1,gautrin-henri-francois-1051
40,1,picard-marc-655
40,1,gaudreault-maryse-959
40,1,schneeberger-sebastien-5909
40,1,paradis-pierre-1113
40,1,theriault-lise-1355
40,1,ouellet-martine-8431
40,1,martel-donald-12165
40,1,berube-pascal-991
40,1,maltais-agnes-57
40,1,bonnardel-francois-11
40,1,bachand-raymond-565
40,1,roy-nathalie-12187
40,1,larouche-elizabeth-12243
40,1,levesque-sylvain-12213
38,1,grandmont-ginette-5879
38,1,deslieres-serge-2875
38,1,charbonneau-eric-5855
